#
#--------LOG from Wed 11 Nov 2015 at 12h:23m:56s ---------
#
#voltage(V)	current(A)	timestamp
  -0.022	-8.7735e-09	1447266047
 -10.008	-6.4239e-08	1447266052
 -19.995	-1.3326e-07	1447266057
 -29.980	-1.9457e-07	1447266062
 -39.965	-2.5461e-07	1447266067
 -49.950	-3.2435e-07	1447266072
 -59.954	-4.0201e-07	1447266077
 -69.940	-4.8010e-07	1447266082
 -79.951	-5.4041e-07	1447266087
 -89.965	-6.1019e-07	1447266092
 -99.980	-6.8844e-07	1447266098
-109.994	-7.2811e-07	1447266103
-120.006	-7.8051e-07	1447266108
-130.022	-8.2566e-07	1447266113
-140.054	-8.5838e-07	1447266118
-150.063	-8.8951e-07	1447266123
-160.049	-8.9954e-07	1447266128
-170.035	-9.4064e-07	1447266133
-180.020	-9.8223e-07	1447266138
-190.004	-9.9024e-07	1447266159
-199.977	-1.0625e-06	1447266171
-209.964	-1.1221e-06	1447266176
-219.949	-1.1828e-06	1447266181
-229.974	-2.3667e-06	1447266186
-239.992	-6.4274e-06	1447266191
-250.001	-1.4109e-05	1447266200
-260.016	-2.2638e-05	1447266205
-270.030	-3.2850e-05	1447266210
-280.045	-4.4912e-05	1447266215
-290.060	-5.8841e-05	1447266220
-300.075	-7.4347e-05	1447266225
-310.080	-9.1362e-05	1447266230
-312.780	-1.0000e-04	1447266235
