Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])

2.000000e-03 5.331645e-01 1.580012e+02 1.078568e+02     Pix  0  0
2.000000e-03 5.444002e-01 1.559008e+02 1.088783e+02     Pix  0  1
2.000000e-03 5.050727e-01 1.591194e+02 1.065154e+02     Pix  0  2
2.000000e-03 5.314906e-01 1.577159e+02 1.076721e+02     Pix  0  3
2.000000e-03 4.966708e-01 1.584175e+02 1.089590e+02     Pix  0  4
2.000000e-03 5.261582e-01 1.560911e+02 1.075990e+02     Pix  0  5
2.000000e-03 5.417295e-01 1.581568e+02 1.062624e+02     Pix  0  6
2.000000e-03 5.198617e-01 1.607609e+02 1.041886e+02     Pix  0  7
2.000000e-03 4.921896e-01 1.605106e+02 1.047731e+02     Pix  0  8
2.000000e-03 5.178584e-01 1.592900e+02 1.073081e+02     Pix  0  9
2.000000e-03 5.425588e-01 1.588582e+02 1.059009e+02     Pix  0 10
2.000000e-03 5.598309e-01 1.570380e+02 1.071795e+02     Pix  0 11
2.000000e-03 5.681409e-01 1.579813e+02 1.046940e+02     Pix  0 12
2.000000e-03 5.667409e-01 1.585930e+02 1.050491e+02     Pix  0 13
2.000000e-03 5.361356e-01 1.621064e+02 1.030640e+02     Pix  0 14
2.000000e-03 5.287175e-01 1.586955e+02 1.077816e+02     Pix  0 15
2.000000e-03 5.101760e-01 1.586672e+02 1.073166e+02     Pix  0 16
2.000000e-03 5.193854e-01 1.577995e+02 1.082662e+02     Pix  0 17
2.000000e-03 4.911862e-01 1.629981e+02 1.041658e+02     Pix  0 18
2.000000e-03 5.054423e-01 1.626675e+02 1.034258e+02     Pix  0 19
2.000000e-03 5.761841e-01 1.581831e+02 1.049022e+02     Pix  0 20
2.000000e-03 4.832730e-01 1.636964e+02 1.033265e+02     Pix  0 21
2.000000e-03 5.444581e-01 1.599054e+02 1.052603e+02     Pix  0 22
2.000000e-03 5.521127e-01 1.592850e+02 1.060849e+02     Pix  0 23
1.999997e-03 5.794821e-01 1.586266e+02 1.019088e+02     Pix  0 24
2.000000e-03 5.933550e-01 1.579625e+02 1.058965e+02     Pix  0 25
2.000000e-03 5.600084e-01 1.586281e+02 1.051646e+02     Pix  0 26
2.000000e-03 5.570732e-01 1.591224e+02 1.039894e+02     Pix  0 27
2.000000e-03 5.666569e-01 1.598389e+02 1.049541e+02     Pix  0 28
2.000000e-03 5.724347e-01 1.577896e+02 1.061423e+02     Pix  0 29
2.000000e-03 5.666358e-01 1.596828e+02 1.034841e+02     Pix  0 30
2.000000e-03 5.677717e-01 1.604407e+02 1.043530e+02     Pix  0 31
2.000000e-03 5.754063e-01 1.587230e+02 1.030811e+02     Pix  0 32
2.000000e-03 5.779884e-01 1.557898e+02 1.079669e+02     Pix  0 33
2.000000e-03 5.017136e-01 1.617329e+02 1.026810e+02     Pix  0 34
2.000000e-03 5.397674e-01 1.584691e+02 1.079326e+02     Pix  0 35
2.000000e-03 5.702738e-01 1.582838e+02 1.060286e+02     Pix  0 36
2.000000e-03 5.539757e-01 1.606302e+02 1.049996e+02     Pix  0 37
2.000000e-03 5.560575e-01 1.604071e+02 1.033498e+02     Pix  0 38
1.999879e-03 5.437886e-01 1.593292e+02 1.052372e+02     Pix  0 39
2.000000e-03 5.645846e-01 1.578917e+02 1.053538e+02     Pix  0 40
2.000000e-03 5.740180e-01 1.576474e+02 1.043701e+02     Pix  0 41
2.000000e-03 5.686605e-01 1.607204e+02 1.019835e+02     Pix  0 42
2.000000e-03 5.968891e-01 1.592064e+02 1.032062e+02     Pix  0 43
2.000000e-03 5.744526e-01 1.587069e+02 1.050381e+02     Pix  0 44
1.999969e-03 5.611067e-01 1.588993e+02 1.063737e+02     Pix  0 45
2.000000e-03 5.653960e-01 1.585429e+02 1.047971e+02     Pix  0 46
2.000000e-03 5.521883e-01 1.596305e+02 1.044032e+02     Pix  0 47
2.000000e-03 5.305066e-01 1.629119e+02 1.027366e+02     Pix  0 48
2.000000e-03 6.015124e-01 1.598178e+02 1.018912e+02     Pix  0 49
1.999949e-03 6.465010e-01 1.559478e+02 1.063759e+02     Pix  0 50
2.000000e-03 5.423747e-01 1.592176e+02 1.056504e+02     Pix  0 51
2.000000e-03 5.675050e-01 1.579627e+02 1.072731e+02     Pix  0 52
2.000000e-03 5.372299e-01 1.609052e+02 1.040252e+02     Pix  0 53
2.000000e-03 5.823283e-01 1.596458e+02 1.051794e+02     Pix  0 54
2.000000e-03 5.632621e-01 1.606176e+02 1.031534e+02     Pix  0 55
2.000000e-03 5.451770e-01 1.622559e+02 1.035327e+02     Pix  0 56
2.000000e-03 5.689611e-01 1.584529e+02 1.049694e+02     Pix  0 57
2.000000e-03 5.706501e-01 1.591676e+02 1.052127e+02     Pix  0 58
2.000000e-03 5.527797e-01 1.601320e+02 1.054198e+02     Pix  0 59
2.000000e-03 6.322377e-01 1.576053e+02 1.045513e+02     Pix  0 60
2.000000e-03 5.397197e-01 1.650200e+02 9.898847e+01     Pix  0 61
2.000000e-03 5.628845e-01 1.617853e+02 1.019169e+02     Pix  0 62
2.000000e-03 5.199822e-01 1.629183e+02 1.022699e+02     Pix  0 63
2.000000e-03 5.696383e-01 1.599379e+02 1.046257e+02     Pix  0 64
2.000000e-03 5.889959e-01 1.594795e+02 1.040713e+02     Pix  0 65
1.999961e-03 5.557423e-01 1.635946e+02 9.967515e+01     Pix  0 66
2.000000e-03 6.378811e-01 1.583625e+02 1.027809e+02     Pix  0 67
2.000000e-03 5.631260e-01 1.628063e+02 1.009946e+02     Pix  0 68
2.000000e-03 5.506823e-01 1.597541e+02 1.069320e+02     Pix  0 69
2.000000e-03 5.607732e-01 1.590488e+02 1.061220e+02     Pix  0 70
2.000000e-03 5.110024e-01 1.638933e+02 1.033011e+02     Pix  0 71
2.000000e-03 5.625818e-01 1.605635e+02 1.042576e+02     Pix  0 72
2.000000e-03 5.690850e-01 1.620549e+02 1.016233e+02     Pix  0 73
2.000000e-03 5.675142e-01 1.621052e+02 1.023940e+02     Pix  0 74
2.000000e-03 5.745388e-01 1.590687e+02 1.058993e+02     Pix  0 75
2.000000e-03 5.841024e-01 1.584280e+02 1.040906e+02     Pix  0 76
2.000000e-03 5.642148e-01 1.606707e+02 1.052329e+02     Pix  0 77
2.000000e-03 5.702104e-01 1.638052e+02 1.005601e+02     Pix  0 78
1.891320e-03 5.879583e-01 1.581534e+02 1.021315e+02     Pix  0 79
2.000000e-03 4.273099e-01 1.709194e+02 9.946095e+01     Pix  1  0
2.000000e-03 4.685323e-01 1.669919e+02 1.011493e+02     Pix  1  1
2.000000e-03 4.645730e-01 1.686228e+02 1.001435e+02     Pix  1  2
2.000000e-03 4.538899e-01 1.672904e+02 1.029999e+02     Pix  1  3
